Wall time,Step,Value
1531049394,1917,0.99000001
1531049395,1923,0.970000029
1531049396,1924,1
1531049396,1930,0.99000001
1531049397,1934,0.99000001
1531049398,1936,0.980000019
1531049398,1938,0.970000029
1531049399,1944,0.970000029
1531049399,1947,0.970000029
1531049400,1949,0.949999988
1531049400,1952,0.99000001
1531049401,1955,0.970000029
1531049401,1958,0.959999979
1531049401,1960,0.99000001
1531049403,1967,1
1531049403,1969,0.99000001
1531049405,1981,0.99000001
1531049405,1982,0.959999979
1531049405,1983,0.949999988
1531049408,1997,0.99000001
1531049409,2001,0.99000001
1531049410,2005,0.980000019
1531049410,2009,1
1531049411,2010,0.970000029
1531049411,2013,1
1531049411,2015,0.970000029
1531049412,2017,0.980000019
1531049413,2025,0.970000029
1531049413,2027,0.980000019
1531049414,2030,0.980000019
1531049414,2033,1
1531049415,2036,0.980000019
1531049415,2038,0.980000019
1531049416,2041,0.959999979
1531049416,2044,0.980000019
1531049416,2045,0.980000019
1531049419,2060,1
1531049420,2067,0.970000029
1531049421,2072,0.980000019
1531049421,2073,0.99000001
1531049421,2074,0.99000001
1531049422,2076,0.970000029
1531049422,2077,0.949999988
1531049422,2079,0.959999979
1531049423,2081,1
1531049423,2085,0.970000029
1531049424,2089,0.949999988
1531049425,2094,0.959999979
1531049425,2096,0.99000001
1531049427,2103,0.970000029
1531049427,2105,0.99000001
1531049427,2106,0.949999988
1531049428,2109,0.99000001
1531049429,2111,1
1531049429,2115,0.970000029
1531049430,2118,0.980000019
1531049431,2120,0.970000029
1531049431,2122,0.959999979
1531049432,2123,0.980000019
1531049433,2133,0.949999988
1531049433,2134,0.99000001
1531049434,2138,0.970000029
1531049435,2141,0.99000001
1531049435,2144,0.980000019
1531049435,2145,0.99000001
1531049436,2148,0.980000019
1531049436,2149,1
1531049436,2151,0.980000019
1531049438,2156,1
1531049438,2157,0.99000001
1531049439,2164,0.99000001
1531049440,2165,0.980000019
1531049440,2169,0.99000001
1531049441,2171,0.959999979
1531049441,2173,0.980000019
1531049441,2177,1
1531049443,2187,0.949999988
1531049443,2189,0.970000029
1531049444,2191,0.970000029
1531049444,2192,0.980000019
1531049444,2196,0.980000019
1531049445,2199,0.99000001
1531049446,2207,0.970000029
1531049447,2211,0.99000001
1531049447,2214,0.99000001
1531049449,2225,0.99000001
1531049450,2229,0.99000001
1531049450,2231,0.99000001
1531049450,2234,0.939999998
1531049451,2236,0.99000001
1531049451,2237,0.970000029
1531049451,2239,0.99000001
1531049452,2241,0.99000001
1531049452,2242,0.939999998
1531049452,2244,0.99000001
1531049452,2246,0.959999979
1531049452,2247,0.980000019
1531049453,2251,0.980000019
1531049453,2252,0.970000029
1531049454,2254,0.99000001
1531049454,2257,0.980000019
1531049455,2262,0.99000001
1531049457,2274,0.970000029
1531049457,2278,0.99000001
1531049458,2281,0.970000029
1531049459,2291,0.970000029
1531049460,2297,0.99000001
1531049460,2298,0.99000001
1531049461,2300,0.99000001
1531049461,2303,1
1531049462,2306,0.99000001
1531049462,2307,0.99000001
1531049462,2308,0.99000001
1531049464,2318,0.980000019
1531049464,2319,0.970000029
1531049464,2320,0.980000019
1531049465,2322,1
1531049467,2334,1
1531049467,2335,0.970000029
1531049467,2336,0.980000019
1531049467,2337,1
1531049468,2345,0.970000029
1531049470,2354,1
1531049471,2359,0.99000001
1531049472,2367,0.99000001
1531049472,2368,1
1531049473,2371,0.970000029
1531049474,2382,0.99000001
1531049475,2385,0.949999988
1531049475,2388,0.970000029
1531049476,2389,0.99000001
1531049476,2390,1
1531049476,2392,0.99000001
1531049478,2400,0.980000019
1531049478,2402,0.959999979
1531049478,2404,0.970000029
1531049479,2406,0.99000001
1531049480,2416,0.980000019
1531049481,2424,0.99000001
1531049482,2425,0.970000029
